,LOAD,date,comp,n,sqft,SD
1287,2025-09-16_7,9/16/2025,7,29,114.6,3.95
1322,2025-09-23_7,9/23/2025,7,29,114.6,3.95
1387,2025-10-04_7,10/4/2025,7,29,114.6,3.95
1469,2025-10-21_7,10/21/2025,7,29,114.6,3.95
1481,2025-10-23_7,10/23/2025,7,29,114.6,3.95
1487,2025-10-24_7,10/24/2025,7,29,114.6,3.95
1526,2025-11-01_7,11/1/2025,7,29,114.6,3.95
1532,2025-11-03_7,11/3/2025,7,29,114.6,3.95
1539,2025-11-04_7,11/4/2025,7,29,114.6,3.95
1569,2025-11-10_7,11/10/2025,7,29,114.6,3.95
62,2024-11-26_8,11/26/2024,8,29,116,4
86,2024-12-02_8,12/2/2024,8,29,116,4
109,2024-12-08_8,12/8/2024,8,29,116,4
116,2024-12-10_8,12/10/2024,8,29,116,4
251,2025-01-13_8,1/13/2025,8,29,116,4
266,2025-01-17_8,1/17/2025,8,29,116,4
338,2025-02-04_8,2/4/2025,8,29,116,4
370,2025-02-12_8,2/12/2025,8,29,116,4
498,2025-03-16_8,3/16/2025,8,29,116,4
506,2025-03-18_8,3/18/2025,8,29,116,4
801,2025-06-06_8,6/6/2025,8,29,116,4
851,2025-06-18_8,6/18/2025,8,29,116,4
977,2025-07-15_8,7/15/2025,8,29,116,4
1031,2025-07-25_8,7/25/2025,8,29,116,4
1174,2025-08-23_8,8/23/2025,8,29,116,4
1216,2025-09-01_8,9/1/2025,8,29,116,4
1417,2025-10-10_8,10/10/2025,8,29,116,4
1552,2025-11-06_8,11/6/2025,8,29,116,4
9,2024-11-14_2,11/14/2024,2,30,114.6,3.82
41,2024-11-22_2,11/22/2024,2,30,114.6,3.82
49,2024-11-24_2,11/24/2024,2,30,114.6,3.82
56,2024-11-26_2,11/26/2024,2,30,114.6,3.82
65,2024-11-28_2,11/28/2024,2,30,114.6,3.82
81,2024-12-02_2,12/2/2024,2,30,114.6,3.82
95,2024-12-06_2,12/6/2024,2,30,114.6,3.82
103,2024-12-08_2,12/8/2024,2,30,114.6,3.82
118,2024-12-12_2,12/12/2024,2,30,114.6,3.82
142,2024-12-18_2,12/18/2024,2,30,114.6,3.82
167,2024-12-24_2,12/24/2024,2,30,114.6,3.82
197,2025-01-01_2,1/1/2025,2,30,114.6,3.82
205,2025-01-03_2,1/3/2025,2,30,114.6,3.82
229,2025-01-09_2,1/9/2025,2,30,114.6,3.82
284,2025-01-23_2,1/23/2025,2,30,114.6,3.82
340,2025-02-06_2,2/6/2025,2,30,114.6,3.82
364,2025-02-12_2,2/12/2025,2,30,114.6,3.82
388,2025-02-18_2,2/18/2025,2,30,114.6,3.82
436,2025-03-02_2,3/2/2025,2,30,114.6,3.82
452,2025-03-06_2,3/6/2025,2,30,114.6,3.82
523,2025-03-24_2,3/24/2025,2,30,114.6,3.82
627,2025-04-21_2,4/21/2025,2,30,114.6,3.82
635,2025-04-23_2,4/23/2025,2,30,114.6,3.82
643,2025-04-25_2,4/25/2025,2,30,114.6,3.82
677,2025-05-05_2,5/5/2025,2,30,114.6,3.82
683,2025-05-07_2,5/7/2025,2,30,114.6,3.82
697,2025-05-11_2,5/11/2025,2,30,114.6,3.82
710,2025-05-15_2,5/15/2025,2,30,114.6,3.82
726,2025-05-19_2,5/19/2025,2,30,114.6,3.82
764,2025-05-29_2,5/29/2025,2,30,114.6,3.82
909,2025-07-02_2,7/2/2025,2,30,114.6,3.82
959,2025-07-12_2,7/12/2025,2,30,114.6,3.82
972,2025-07-15_2,7/15/2025,2,30,114.6,3.82
1020,2025-07-24_2,7/24/2025,2,30,114.6,3.82
1032,2025-07-26_2,7/26/2025,2,30,114.6,3.82
1039,2025-07-28_2,7/28/2025,2,30,114.6,3.82
1052,2025-07-30_2,7/30/2025,2,30,114.6,3.82
1057,2025-07-31_2,7/31/2025,2,30,114.6,3.82
1084,2025-08-05_2,8/5/2025,2,30,114.6,3.82
1104,2025-08-09_2,8/9/2025,2,30,114.6,3.82
1117,2025-08-12_2,8/12/2025,2,30,114.6,3.82
1146,2025-08-18_2,8/18/2025,2,30,114.6,3.82
1150,2025-08-19_2,8/19/2025,2,30,114.6,3.82
1159,2025-08-21_2,8/21/2025,2,30,114.6,3.82
1164,2025-08-22_2,8/22/2025,2,30,114.6,3.82
1176,2025-08-25_2,8/25/2025,2,30,114.6,3.82
1188,2025-08-27_2,8/27/2025,2,30,114.6,3.82
1204,2025-08-31_2,8/31/2025,2,30,114.6,3.82
1232,2025-09-05_2,9/5/2025,2,30,114.6,3.82
1237,2025-09-06_2,9/6/2025,2,30,114.6,3.82
1255,2025-09-10_2,9/10/2025,2,30,114.6,3.82
1261,2025-09-11_2,9/11/2025,2,30,114.6,3.82
1284,2025-09-16_2,9/16/2025,2,30,114.6,3.82
1299,2025-09-19_2,9/19/2025,2,30,114.6,3.82
1311,2025-09-22_2,9/22/2025,2,30,114.6,3.82
1325,2025-09-24_2,9/24/2025,2,30,114.6,3.82
1331,2025-09-25_2,9/25/2025,2,30,114.6,3.82
1350,2025-09-29_2,9/29/2025,2,30,114.6,3.82
1357,2025-09-30_2,9/30/2025,2,30,114.6,3.82
1383,2025-10-04_2,10/4/2025,2,30,114.6,3.82
1390,2025-10-06_2,10/6/2025,2,30,114.6,3.82
1397,2025-10-07_2,10/7/2025,2,30,114.6,3.82
1403,2025-10-08_2,10/8/2025,2,30,114.6,3.82
1408,2025-10-09_2,10/9/2025,2,30,114.6,3.82
1413,2025-10-10_2,10/10/2025,2,30,114.6,3.82
1424,2025-10-13_2,10/13/2025,2,30,114.6,3.82
1431,2025-10-14_2,10/14/2025,2,30,114.6,3.82
1447,2025-10-17_2,10/17/2025,2,30,114.6,3.82
1477,2025-10-23_2,10/23/2025,2,30,114.6,3.82
1495,2025-10-27_2,10/27/2025,2,30,114.6,3.82
1512,2025-10-30_2,10/30/2025,2,30,114.6,3.82
1517,2025-10-31_2,10/31/2025,2,30,114.6,3.82
1522,2025-11-01_2,11/1/2025,2,30,114.6,3.82
1548,2025-11-06_2,11/6/2025,2,30,114.6,3.82
1553,2025-11-07_2,11/7/2025,2,30,114.6,3.82
1571,2025-11-11_2,11/11/2025,2,30,114.6,3.82
3,2024-11-12_3,11/12/2024,3,30,96.2,3.21
10,2024-11-14_3,11/14/2024,3,30,96.2,3.21
17,2024-11-16_3,11/16/2024,3,30,96.2,3.21
25,2024-11-18_3,11/18/2024,3,30,96.2,3.21
66,2024-11-28_3,11/28/2024,3,30,96.2,3.21
198,2025-01-01_3,1/1/2025,3,30,96.2,3.21
206,2025-01-03_3,1/3/2025,3,30,96.2,3.21
254,2025-01-15_3,1/15/2025,3,30,96.2,3.21
285,2025-01-23_3,1/23/2025,3,30,96.2,3.21
309,2025-01-29_3,1/29/2025,3,30,96.2,3.21
341,2025-02-06_3,2/6/2025,3,30,96.2,3.21
365,2025-02-12_3,2/12/2025,3,30,96.2,3.21
373,2025-02-14_3,2/14/2025,3,30,96.2,3.21
437,2025-03-02_3,3/2/2025,3,30,96.2,3.21
453,2025-03-06_3,3/6/2025,3,30,96.2,3.21
469,2025-03-10_3,3/10/2025,3,30,96.2,3.21
478,2025-03-12_3,3/12/2025,3,30,96.2,3.21
493,2025-03-16_3,3/16/2025,3,30,96.2,3.21
553,2025-04-01_3,4/1/2025,3,30,96.2,3.21
573,2025-04-07_3,4/7/2025,3,30,96.2,3.21
596,2025-04-13_3,4/13/2025,3,30,96.2,3.21
605,2025-04-15_3,4/15/2025,3,30,96.2,3.21
658,2025-04-29_3,4/29/2025,3,30,96.2,3.21
665,2025-05-01_3,5/1/2025,3,30,96.2,3.21
704,2025-05-13_3,5/13/2025,3,30,96.2,3.21
788,2025-06-04_3,6/4/2025,3,30,96.2,3.21
863,2025-06-22_3,6/22/2025,3,30,96.2,3.21
882,2025-06-26_3,6/26/2025,3,30,96.2,3.21
898,2025-06-30_3,6/30/2025,3,30,96.2,3.21
919,2025-07-04_3,7/4/2025,3,30,96.2,3.21
935,2025-07-07_3,7/7/2025,3,30,96.2,3.21
942,2025-07-08_3,7/8/2025,3,30,96.2,3.21
948,2025-07-10_3,7/10/2025,3,30,96.2,3.21
960,2025-07-12_3,7/12/2025,3,30,96.2,3.21
979,2025-07-16_3,7/16/2025,3,30,96.2,3.21
984,2025-07-17_3,7/17/2025,3,30,96.2,3.21
1009,2025-07-22_3,7/22/2025,3,30,96.2,3.21
1014,2025-07-23_3,7/23/2025,3,30,96.2,3.21
1033,2025-07-26_3,7/26/2025,3,30,96.2,3.21
1063,2025-08-01_3,8/1/2025,3,30,96.2,3.21
1111,2025-08-11_3,8/11/2025,3,30,96.2,3.21
1118,2025-08-12_3,8/12/2025,3,30,96.2,3.21
1147,2025-08-18_3,8/18/2025,3,30,96.2,3.21
1151,2025-08-19_3,8/19/2025,3,30,96.2,3.21
1156,2025-08-20_3,8/20/2025,3,30,96.2,3.21
1160,2025-08-21_3,8/21/2025,3,30,96.2,3.21
1171,2025-08-23_3,8/23/2025,3,30,96.2,3.21
1177,2025-08-25_3,8/25/2025,3,30,96.2,3.21
1212,2025-09-01_3,9/1/2025,3,30,96.2,3.21
1228,2025-09-04_3,9/4/2025,3,30,96.2,3.21
1233,2025-09-05_3,9/5/2025,3,30,96.2,3.21
1238,2025-09-06_3,9/6/2025,3,30,96.2,3.21
1244,2025-09-08_3,9/8/2025,3,30,96.2,3.21
1256,2025-09-10_3,9/10/2025,3,30,96.2,3.21
1262,2025-09-11_3,9/11/2025,3,30,96.2,3.21
1279,2025-09-15_3,9/15/2025,3,30,96.2,3.21
1290,2025-09-17_3,9/17/2025,3,30,96.2,3.21
1295,2025-09-18_3,9/18/2025,3,30,96.2,3.21
1312,2025-09-22_3,9/22/2025,3,30,96.2,3.21
1319,2025-09-23_3,9/23/2025,3,30,96.2,3.21
1332,2025-09-25_3,9/25/2025,3,30,96.2,3.21
1378,2025-10-03_3,10/3/2025,3,30,96.2,3.21
1391,2025-10-06_3,10/6/2025,3,30,96.2,3.21
1414,2025-10-10_3,10/10/2025,3,30,96.2,3.21
1419,2025-10-11_3,10/11/2025,3,30,96.2,3.21
1425,2025-10-13_3,10/13/2025,3,30,96.2,3.21
1432,2025-10-14_3,10/14/2025,3,30,96.2,3.21
1443,2025-10-16_3,10/16/2025,3,30,96.2,3.21
1472,2025-10-22_3,10/22/2025,3,30,96.2,3.21
1503,2025-10-28_3,10/28/2025,3,30,96.2,3.21
1518,2025-10-31_3,10/31/2025,3,30,96.2,3.21
1523,2025-11-01_3,11/1/2025,3,30,96.2,3.21
1549,2025-11-06_3,11/6/2025,3,30,96.2,3.21
1560,2025-11-08_3,11/8/2025,3,30,96.2,3.21
1566,2025-11-10_3,11/10/2025,3,30,96.2,3.21
1572,2025-11-11_3,11/11/2025,3,30,96.2,3.21
1578,2025-11-12_3,11/12/2025,3,30,96.2,3.21
26,2024-11-18_4,11/18/2024,4,30,121.5,4.05
302,2025-01-27_4,1/27/2025,4,30,121.5,4.05
358,2025-02-10_4,2/10/2025,4,30,121.5,4.05
814,2025-06-10_4,6/10/2025,4,30,121.5,4.05
838,2025-06-16_4,6/16/2025,4,30,121.5,4.05
899,2025-06-30_4,6/30/2025,4,30,121.5,4.05
1041,2025-07-28_4,7/28/2025,4,30,121.5,4.05
5,2024-11-12_6,11/12/2024,6,30,114.6,3.82
12,2024-11-14_6,11/14/2024,6,30,114.6,3.82
20,2024-11-16_6,11/16/2024,6,30,114.6,3.82
28,2024-11-18_6,11/18/2024,6,30,114.6,3.82
37,2024-11-20_6,11/20/2024,6,30,114.6,3.82
107,2024-12-08_6,12/8/2024,6,30,114.6,3.82
122,2024-12-12_6,12/12/2024,6,30,114.6,3.82
163,2024-12-22_6,12/22/2024,6,30,114.6,3.82
170,2024-12-24_6,12/24/2024,6,30,114.6,3.82
193,2024-12-30_6,12/30/2024,6,30,114.6,3.82
280,2025-01-21_6,1/21/2025,6,30,114.6,3.82
288,2025-01-23_6,1/23/2025,6,30,114.6,3.82
312,2025-01-29_6,1/29/2025,6,30,114.6,3.82
392,2025-02-18_6,2/18/2025,6,30,114.6,3.82
408,2025-02-22_6,2/22/2025,6,30,114.6,3.82
448,2025-03-04_6,3/4/2025,6,30,114.6,3.82
583,2025-04-09_6,4/9/2025,6,30,114.6,3.82
639,2025-04-23_6,4/23/2025,6,30,114.6,3.82
686,2025-05-07_6,5/7/2025,6,30,114.6,3.82
700,2025-05-11_6,5/11/2025,6,30,114.6,3.82
747,2025-05-23_6,5/23/2025,6,30,114.6,3.82
760,2025-05-27_6,5/27/2025,6,30,114.6,3.82
808,2025-06-08_6,6/8/2025,6,30,114.6,3.82
901,2025-06-30_6,6/30/2025,6,30,114.6,3.82
930,2025-07-06_6,7/6/2025,6,30,114.6,3.82
938,2025-07-07_6,7/7/2025,6,30,114.6,3.82
975,2025-07-15_6,7/15/2025,6,30,114.6,3.82
1043,2025-07-28_6,7/28/2025,6,30,114.6,3.82
1059,2025-07-31_6,7/31/2025,6,30,114.6,3.82
1081,2025-08-04_6,8/4/2025,6,30,114.6,3.82
1091,2025-08-06_6,8/6/2025,6,30,114.6,3.82
1120,2025-08-12_6,8/12/2025,6,30,114.6,3.82
1130,2025-08-14_6,8/14/2025,6,30,114.6,3.82
1162,2025-08-21_6,8/21/2025,6,30,114.6,3.82
1201,2025-08-29_6,8/29/2025,6,30,114.6,3.82
1214,2025-09-01_6,9/1/2025,6,30,114.6,3.82
1229,2025-09-04_6,9/4/2025,6,30,114.6,3.82
1234,2025-09-05_6,9/5/2025,6,30,114.6,3.82
1240,2025-09-06_6,9/6/2025,6,30,114.6,3.82
1246,2025-09-08_6,9/8/2025,6,30,114.6,3.82
1252,2025-09-09_6,9/9/2025,6,30,114.6,3.82
1281,2025-09-15_6,9/15/2025,6,30,114.6,3.82
1286,2025-09-16_6,9/16/2025,6,30,114.6,3.82
1297,2025-09-18_6,9/18/2025,6,30,114.6,3.82
1302,2025-09-19_6,9/19/2025,6,30,114.6,3.82
1328,2025-09-24_6,9/24/2025,6,30,114.6,3.82
1334,2025-09-25_6,9/25/2025,6,30,114.6,3.82
1368,2025-10-01_6,10/1/2025,6,30,114.6,3.82
1380,2025-10-03_6,10/3/2025,6,30,114.6,3.82
1406,2025-10-08_6,10/8/2025,6,30,114.6,3.82
1411,2025-10-09_6,10/9/2025,6,30,114.6,3.82
1415,2025-10-10_6,10/10/2025,6,30,114.6,3.82
1420,2025-10-11_6,10/11/2025,6,30,114.6,3.82
1427,2025-10-13_6,10/13/2025,6,30,114.6,3.82
1445,2025-10-16_6,10/16/2025,6,30,114.6,3.82
1449,2025-10-17_6,10/17/2025,6,30,114.6,3.82
1468,2025-10-21_6,10/21/2025,6,30,114.6,3.82
1498,2025-10-27_6,10/27/2025,6,30,114.6,3.82
1510,2025-10-29_6,10/29/2025,6,30,114.6,3.82
1525,2025-11-01_6,11/1/2025,6,30,114.6,3.82
1538,2025-11-04_6,11/4/2025,6,30,114.6,3.82
1544,2025-11-05_6,11/5/2025,6,30,114.6,3.82
1551,2025-11-06_6,11/6/2025,6,30,114.6,3.82
13,2024-11-14_7,11/14/2024,7,30,114.6,3.82
115,2024-12-10_7,12/10/2024,7,30,114.6,3.82
123,2024-12-12_7,12/12/2024,7,30,114.6,3.82
155,2024-12-20_7,12/20/2024,7,30,114.6,3.82
171,2024-12-24_7,12/24/2024,7,30,114.6,3.82
186,2024-12-28_7,12/28/2024,7,30,114.6,3.82
257,2025-01-15_7,1/15/2025,7,30,114.6,3.82
273,2025-01-19_7,1/19/2025,7,30,114.6,3.82
313,2025-01-29_7,1/29/2025,7,30,114.6,3.82
385,2025-02-16_7,2/16/2025,7,30,114.6,3.82
449,2025-03-04_7,3/4/2025,7,30,114.6,3.82
481,2025-03-12_7,3/12/2025,7,30,114.6,3.82
497,2025-03-16_7,3/16/2025,7,30,114.6,3.82
624,2025-04-19_7,4/19/2025,7,30,114.6,3.82
640,2025-04-23_7,4/23/2025,7,30,114.6,3.82
655,2025-04-27_7,4/27/2025,7,30,114.6,3.82
681,2025-05-05_7,5/5/2025,7,30,114.6,3.82
687,2025-05-07_7,5/7/2025,7,30,114.6,3.82
715,2025-05-15_7,5/15/2025,7,30,114.6,3.82
731,2025-05-19_7,5/19/2025,7,30,114.6,3.82
748,2025-05-23_7,5/23/2025,7,30,114.6,3.82
784,2025-06-02_7,6/2/2025,7,30,114.6,3.82
850,2025-06-18_7,6/18/2025,7,30,114.6,3.82
886,2025-06-26_7,6/26/2025,7,30,114.6,3.82
894,2025-06-28_7,6/28/2025,7,30,114.6,3.82
931,2025-07-06_7,7/6/2025,7,30,114.6,3.82
976,2025-07-15_7,7/15/2025,7,30,114.6,3.82
1011,2025-07-22_7,7/22/2025,7,30,114.6,3.82
1030,2025-07-25_7,7/25/2025,7,30,114.6,3.82
1036,2025-07-26_7,7/26/2025,7,30,114.6,3.82
1044,2025-07-28_7,7/28/2025,7,30,114.6,3.82
1050,2025-07-29_7,7/29/2025,7,30,114.6,3.82
1082,2025-08-04_7,8/4/2025,7,30,114.6,3.82
1107,2025-08-09_7,8/9/2025,7,30,114.6,3.82
1154,2025-08-19_7,8/19/2025,7,30,114.6,3.82
1202,2025-08-29_7,8/29/2025,7,30,114.6,3.82
1215,2025-09-01_7,9/1/2025,7,30,114.6,3.82
1230,2025-09-04_7,9/4/2025,7,30,114.6,3.82
1241,2025-09-06_7,9/6/2025,7,30,114.6,3.82
1247,2025-09-08_7,9/8/2025,7,30,114.6,3.82
1253,2025-09-09_7,9/9/2025,7,30,114.6,3.82
1269,2025-09-12_7,9/12/2025,7,30,114.6,3.82
1282,2025-09-15_7,9/15/2025,7,30,114.6,3.82
1315,2025-09-22_7,9/22/2025,7,30,114.6,3.82
1329,2025-09-24_7,9/24/2025,7,30,114.6,3.82
1347,2025-09-28_7,9/28/2025,7,30,114.6,3.82
1354,2025-09-29_7,9/29/2025,7,30,114.6,3.82
1375,2025-10-02_7,10/2/2025,7,30,114.6,3.82
1394,2025-10-06_7,10/6/2025,7,30,114.6,3.82
1416,2025-10-10_7,10/10/2025,7,30,114.6,3.82
1462,2025-10-20_7,10/20/2025,7,30,114.6,3.82
1493,2025-10-25_7,10/25/2025,7,30,114.6,3.82
1575,2025-11-11_7,11/11/2025,7,30,114.6,3.82
7,2024-11-12_8,11/12/2024,8,30,116,3.87
14,2024-11-14_8,11/14/2024,8,30,116,3.87
39,2024-11-20_8,11/20/2024,8,30,116,3.87
47,2024-11-22_8,11/22/2024,8,30,116,3.87
79,2024-11-30_8,11/30/2024,8,30,116,3.87
101,2024-12-06_8,12/6/2024,8,30,116,3.87
124,2024-12-12_8,12/12/2024,8,30,116,3.87
132,2024-12-14_8,12/14/2024,8,30,116,3.87
140,2024-12-16_8,12/16/2024,8,30,116,3.87
195,2024-12-30_8,12/30/2024,8,30,116,3.87
203,2025-01-01_8,1/1/2025,8,30,116,3.87
290,2025-01-23_8,1/23/2025,8,30,116,3.87
346,2025-02-06_8,2/6/2025,8,30,116,3.87
394,2025-02-18_8,2/18/2025,8,30,116,3.87
482,2025-03-12_8,3/12/2025,8,30,116,3.87
577,2025-04-07_8,4/7/2025,8,30,116,3.87
585,2025-04-09_8,4/9/2025,8,30,116,3.87
633,2025-04-21_8,4/21/2025,8,30,116,3.87
662,2025-04-29_8,4/29/2025,8,30,116,3.87
676,2025-05-03_8,5/3/2025,8,30,116,3.87
688,2025-05-07_8,5/7/2025,8,30,116,3.87
716,2025-05-15_8,5/15/2025,8,30,116,3.87
732,2025-05-19_8,5/19/2025,8,30,116,3.87
749,2025-05-23_8,5/23/2025,8,30,116,3.87
762,2025-05-27_8,5/27/2025,8,30,116,3.87
834,2025-06-14_8,6/14/2025,8,30,116,3.87
876,2025-06-24_8,6/24/2025,8,30,116,3.87
932,2025-07-06_8,7/6/2025,8,30,116,3.87
940,2025-07-07_8,7/7/2025,8,30,116,3.87
953,2025-07-10_8,7/10/2025,8,30,116,3.87
958,2025-07-11_8,7/11/2025,8,30,116,3.87
1012,2025-07-22_8,7/22/2025,8,30,116,3.87
1037,2025-07-26_8,7/26/2025,8,30,116,3.87
1098,2025-08-07_8,8/7/2025,8,30,116,3.87
1103,2025-08-08_8,8/8/2025,8,30,116,3.87
1108,2025-08-09_8,8/9/2025,8,30,116,3.87
1248,2025-09-08_8,9/8/2025,8,30,116,3.87
1283,2025-09-15_8,9/15/2025,8,30,116,3.87
1323,2025-09-23_8,9/23/2025,8,30,116,3.87
1362,2025-09-30_8,9/30/2025,8,30,116,3.87
1376,2025-10-02_8,10/2/2025,8,30,116,3.87
1395,2025-10-06_8,10/6/2025,8,30,116,3.87
24,2024-11-18_2,11/18/2024,2,31,114.6,3.7
33,2024-11-20_2,11/20/2024,2,31,114.6,3.7
111,2024-12-10_2,12/10/2024,2,31,114.6,3.7
126,2024-12-14_2,12/14/2024,2,31,114.6,3.7
134,2024-12-16_2,12/16/2024,2,31,114.6,3.7
182,2024-12-28_2,12/28/2024,2,31,114.6,3.7
189,2024-12-30_2,12/30/2024,2,31,114.6,3.7
221,2025-01-07_2,1/7/2025,2,31,114.6,3.7
237,2025-01-11_2,1/11/2025,2,31,114.6,3.7
260,2025-01-17_2,1/17/2025,2,31,114.6,3.7
276,2025-01-21_2,1/21/2025,2,31,114.6,3.7
300,2025-01-27_2,1/27/2025,2,31,114.6,3.7
308,2025-01-29_2,1/29/2025,2,31,114.6,3.7
468,2025-03-10_2,3/10/2025,2,31,114.6,3.7
477,2025-03-12_2,3/12/2025,2,31,114.6,3.7
500,2025-03-18_2,3/18/2025,2,31,114.6,3.7
516,2025-03-22_2,3/22/2025,2,31,114.6,3.7
565,2025-04-05_2,4/5/2025,2,31,114.6,3.7
703,2025-05-13_2,5/13/2025,2,31,114.6,3.7
795,2025-06-06_2,6/6/2025,2,31,114.6,3.7
836,2025-06-16_2,6/16/2025,2,31,114.6,3.7
845,2025-06-18_2,6/18/2025,2,31,114.6,3.7
862,2025-06-22_2,6/22/2025,2,31,114.6,3.7
881,2025-06-26_2,6/26/2025,2,31,114.6,3.7
897,2025-06-30_2,6/30/2025,2,31,114.6,3.7
934,2025-07-07_2,7/7/2025,2,31,114.6,3.7
947,2025-07-10_2,7/10/2025,2,31,114.6,3.7
1008,2025-07-22_2,7/22/2025,2,31,114.6,3.7
1013,2025-07-23_2,7/23/2025,2,31,114.6,3.7
1026,2025-07-25_2,7/25/2025,2,31,114.6,3.7
1070,2025-08-03_2,8/3/2025,2,31,114.6,3.7
1170,2025-08-23_2,8/23/2025,2,31,114.6,3.7
1182,2025-08-26_2,8/26/2025,2,31,114.6,3.7
1222,2025-09-03_2,9/3/2025,2,31,114.6,3.7
1227,2025-09-04_2,9/4/2025,2,31,114.6,3.7
1271,2025-09-14_2,9/14/2025,2,31,114.6,3.7
1289,2025-09-17_2,9/17/2025,2,31,114.6,3.7
1343,2025-09-28_2,9/28/2025,2,31,114.6,3.7
1364,2025-10-01_2,10/1/2025,2,31,114.6,3.7
1377,2025-10-03_2,10/3/2025,2,31,114.6,3.7
1458,2025-10-20_2,10/20/2025,2,31,114.6,3.7
